date,region.kr.bohinj,dnevni,7d.povprecje
2020-06-24,0,0,"0,00"
2020-06-25,0,0,"0,00"
2020-06-26,0,0,"0,00"
2020-06-27,0,0,"0,00"
2020-06-28,0,0,"0,00"
2020-06-29,0,0,"0,00"
2020-06-30,0,0,"0,00"
2020-07-01,0,0,"0,00"
2020-07-02,0,0,"0,00"
2020-07-03,0,0,"0,00"
2020-07-04,0,0,"0,00"
2020-07-05,0,0,"0,00"
2020-07-06,0,0,"0,00"
2020-07-07,0,0,"0,00"
2020-07-08,0,0,"0,00"
2020-07-09,0,0,"0,00"
2020-07-10,0,0,"0,00"
2020-07-11,0,0,"0,00"
2020-07-12,0,0,"0,00"
2020-07-13,0,0,"0,00"
2020-07-14,0,0,"0,00"
2020-07-15,0,0,"0,00"
2020-07-16,0,0,"0,00"
2020-07-17,0,0,"0,00"
2020-07-18,0,0,"0,00"
2020-07-19,0,0,"0,00"
2020-07-20,0,0,"0,00"
2020-07-21,0,0,"0,00"
2020-07-22,0,0,"0,00"
2020-07-23,0,0,"0,00"
2020-07-24,0,0,"0,00"
2020-07-25,0,0,"0,00"
2020-07-26,0,0,"0,00"
2020-07-27,0,0,"0,00"
2020-07-28,0,0,"0,00"
2020-07-29,0,0,"0,00"
2020-07-30,0,0,"0,00"
2020-07-31,0,0,"0,00"
2020-08-01,0,0,"0,00"
2020-08-02,0,0,"0,00"
2020-08-03,0,0,"0,00"
2020-08-04,0,0,"0,00"
2020-08-05,0,0,"0,00"
2020-08-06,0,0,"0,00"
2020-08-07,0,0,"0,00"
2020-08-08,0,0,"0,00"
2020-08-09,0,0,"0,00"
2020-08-10,0,0,"0,00"
2020-08-11,0,0,"0,00"
2020-08-12,0,0,"0,00"
2020-08-13,0,0,"0,00"
2020-08-14,0,0,"0,00"
2020-08-15,0,0,"0,00"
2020-08-16,0,0,"0,00"
2020-08-17,0,0,"0,00"
2020-08-18,0,0,"0,00"
2020-08-19,0,0,"0,00"
2020-08-20,0,0,"0,00"
2020-08-21,0,0,"0,00"
2020-08-22,0,0,"0,00"
2020-08-23,0,0,"0,00"
2020-08-24,0,0,"0,00"
2020-08-25,0,0,"0,00"
2020-08-26,0,0,"0,00"
2020-08-27,0,0,"0,00"
2020-08-28,0,0,"0,00"
2020-08-29,0,0,"0,00"
2020-08-30,0,0,"0,00"
2020-08-31,0,0,"0,00"
2020-09-01,0,0,"0,00"
2020-09-02,0,0,"0,00"
2020-09-03,0,0,"0,00"
2020-09-04,0,0,"0,00"
2020-09-05,0,0,"0,00"
2020-09-06,0,0,"0,00"
2020-09-07,0,0,"0,00"
2020-09-08,0,0,"0,00"
2020-09-09,0,0,"0,00"
2020-09-10,0,0,"0,00"
2020-09-11,0,0,"0,00"
2020-09-12,0,0,"0,00"
2020-09-13,0,0,"0,00"
2020-09-14,0,0,"0,00"
2020-09-15,0,0,"0,00"
2020-09-16,0,0,"0,00"
2020-09-17,0,0,"0,00"
2020-09-18,0,0,"0,00"
2020-09-19,0,0,"0,00"
2020-09-20,0,0,"0,00"
2020-09-21,0,0,"0,00"
2020-09-22,1,1,"0,14"
2020-09-23,2,1,"0,29"
2020-09-24,2,0,"0,29"
2020-09-25,3,1,"0,43"
2020-09-26,3,0,"0,43"
2020-09-27,3,0,"0,43"
2020-09-28,4,1,"0,57"
2020-09-29,5,1,"0,57"
2020-09-30,6,1,"0,57"
2020-10-01,6,0,"0,57"
2020-10-02,8,2,"0,71"
2020-10-03,9,1,"0,86"
2020-10-04,9,0,"0,86"
2020-10-05,10,1,"0,86"
2020-10-06,11,1,"0,86"
2020-10-07,12,1,"0,86"
2020-10-08,12,0,"0,86"
2020-10-09,12,0,"0,57"
2020-10-10,14,2,"0,71"
2020-10-11,14,0,"0,71"
2020-10-12,16,2,"0,86"
2020-10-13,19,3,"1,14"
2020-10-14,21,2,"1,29"
2020-10-15,23,2,"1,57"
2020-10-16,27,4,"2,14"
2020-10-17,27,0,"1,86"
2020-10-18,27,0,"1,86"
2020-10-19,35,8,"2,71"
2020-10-20,45,10,"3,71"
2020-10-21,52,7,"4,43"
2020-10-22,55,3,"4,57"
2020-10-23,76,21,"7,00"
2020-10-24,82,6,"7,86"
2020-10-25,88,6,"8,71"
2020-10-26,93,5,"8,29"
2020-10-27,104,11,"8,43"
2020-10-28,123,19,"10,14"
2020-10-29,128,5,"10,43"
2020-10-30,132,4,"8,00"
2020-10-31,136,4,"7,71"
2020-11-01,140,4,"7,43"
2020-11-02,145,5,"7,43"
2020-11-03,157,12,"7,57"
2020-11-04,162,5,"5,57"
2020-11-05,176,14,"6,86"
2020-11-06,181,5,"7,00"
2020-11-07,185,4,"7,00"
2020-11-08,187,2,"6,71"
2020-11-09,187,0,"6,00"
2020-11-10,197,10,"5,71"
2020-11-11,203,6,"5,86"
2020-11-12,206,3,"4,29"
2020-11-13,209,3,"4,00"
2020-11-14,210,1,"3,57"
2020-11-15,212,2,"3,57"
2020-11-16,215,3,"4,00"
2020-11-17,218,3,"3,00"
2020-11-18,220,2,"2,43"
2020-11-19,221,1,"2,14"
2020-11-20,224,3,"2,14"
2020-11-21,229,5,"2,71"
2020-11-22,230,1,"2,57"
2020-11-23,234,4,"2,71"
2020-11-24,239,5,"3,00"
2020-11-25,241,2,"3,00"
2020-11-26,245,4,"3,43"
2020-11-27,247,2,"3,29"
2020-11-28,249,2,"2,86"
2020-11-29,249,0,"2,71"
2020-11-30,250,1,"2,29"
2020-12-01,252,2,"1,86"
2020-12-02,254,2,"1,86"
2020-12-03,255,1,"1,43"
2020-12-04,258,3,"1,57"
2020-12-05,258,0,"1,29"
2020-12-06,259,1,"1,43"
2020-12-07,261,2,"1,57"
2020-12-08,265,4,"1,86"
2020-12-09,268,3,"2,00"
2020-12-10,273,5,"2,57"
2020-12-11,275,2,"2,43"
2020-12-12,280,5,"3,14"
2020-12-13,280,0,"3,00"
2020-12-14,287,7,"3,71"
2020-12-15,290,3,"3,57"
2020-12-16,295,5,"3,86"
2020-12-17,296,1,"3,29"
2020-12-18,297,1,"3,14"
2020-12-19,299,2,"2,71"
2020-12-20,303,4,"3,29"
2020-12-21,307,4,"2,86"
2020-12-22,311,4,"3,00"
2020-12-23,312,1,"2,43"
2020-12-24,317,5,"3,00"
2020-12-25,317,0,"2,86"
2020-12-26,322,5,"3,29"
2020-12-27,323,1,"2,86"
2020-12-28,326,3,"2,71"
2020-12-29,329,3,"2,57"
2020-12-30,334,5,"3,14"
2020-12-31,334,0,"2,43"
2021-01-01,334,0,"2,43"
2021-01-02,335,1,"1,86"
2021-01-03,337,2,"2,00"
2021-01-04,343,6,"2,43"
2021-01-05,344,1,"2,14"
2021-01-06,347,3,"1,86"
2021-01-07,348,1,"2,00"
2021-01-08,351,3,"2,43"
2021-01-09,352,1,"2,43"
2021-01-10,352,0,"2,14"
2021-01-11,353,1,"1,43"
2021-01-12,357,4,"1,86"
2021-01-13,364,7,"2,43"
2021-01-14,369,5,"3,00"
2021-01-15,369,0,"2,57"
2021-01-16,369,0,"2,43"
2021-01-17,369,0,"2,43"
2021-01-18,372,3,"2,71"
2021-01-19,374,2,"2,43"
2021-01-20,377,3,"1,86"
2021-01-21,379,2,"1,43"
2021-01-22,382,3,"1,86"
2021-01-23,384,2,"2,14"
2021-01-24,384,0,"2,14"
