date,region.kr.kranjska_gora,dnevni,7d.povprecje
2020-06-24,3,0,"0,00"
2020-06-25,3,0,"0,00"
2020-06-26,3,0,"0,00"
2020-06-27,3,0,"0,00"
2020-06-28,3,0,"0,00"
2020-06-29,3,0,"0,00"
2020-06-30,3,0,"0,00"
2020-07-01,3,0,"0,00"
2020-07-02,3,0,"0,00"
2020-07-03,3,0,"0,00"
2020-07-04,3,0,"0,00"
2020-07-05,3,0,"0,00"
2020-07-06,3,0,"0,00"
2020-07-07,3,0,"0,00"
2020-07-08,3,0,"0,00"
2020-07-09,3,0,"0,00"
2020-07-10,3,0,"0,00"
2020-07-11,3,0,"0,00"
2020-07-12,3,0,"0,00"
2020-07-13,3,0,"0,00"
2020-07-14,3,0,"0,00"
2020-07-15,3,0,"0,00"
2020-07-16,3,0,"0,00"
2020-07-17,3,0,"0,00"
2020-07-18,3,0,"0,00"
2020-07-19,3,0,"0,00"
2020-07-20,3,0,"0,00"
2020-07-21,3,0,"0,00"
2020-07-22,3,0,"0,00"
2020-07-23,3,0,"0,00"
2020-07-24,3,0,"0,00"
2020-07-25,3,0,"0,00"
2020-07-26,3,0,"0,00"
2020-07-27,3,0,"0,00"
2020-07-28,3,0,"0,00"
2020-07-29,3,0,"0,00"
2020-07-30,3,0,"0,00"
2020-07-31,3,0,"0,00"
2020-08-01,3,0,"0,00"
2020-08-02,3,0,"0,00"
2020-08-03,3,0,"0,00"
2020-08-04,3,0,"0,00"
2020-08-05,3,0,"0,00"
2020-08-06,3,0,"0,00"
2020-08-07,3,0,"0,00"
2020-08-08,3,0,"0,00"
2020-08-09,3,0,"0,00"
2020-08-10,3,0,"0,00"
2020-08-11,3,0,"0,00"
2020-08-12,3,0,"0,00"
2020-08-13,3,0,"0,00"
2020-08-14,3,0,"0,00"
2020-08-15,3,0,"0,00"
2020-08-16,3,0,"0,00"
2020-08-17,3,0,"0,00"
2020-08-18,3,0,"0,00"
2020-08-19,3,0,"0,00"
2020-08-20,3,0,"0,00"
2020-08-21,3,0,"0,00"
2020-08-22,3,0,"0,00"
2020-08-23,3,0,"0,00"
2020-08-24,3,0,"0,00"
2020-08-25,3,0,"0,00"
2020-08-26,3,0,"0,00"
2020-08-27,3,0,"0,00"
2020-08-28,3,0,"0,00"
2020-08-29,3,0,"0,00"
2020-08-30,3,0,"0,00"
2020-08-31,3,0,"0,00"
2020-09-01,3,0,"0,00"
2020-09-02,3,0,"0,00"
2020-09-03,3,0,"0,00"
2020-09-04,4,1,"0,14"
2020-09-05,4,0,"0,14"
2020-09-06,4,0,"0,14"
2020-09-07,4,0,"0,14"
2020-09-08,4,0,"0,14"
2020-09-09,4,0,"0,14"
2020-09-10,4,0,"0,14"
2020-09-11,4,0,"0,00"
2020-09-12,4,0,"0,00"
2020-09-13,4,0,"0,00"
2020-09-14,4,0,"0,00"
2020-09-15,4,0,"0,00"
2020-09-16,4,0,"0,00"
2020-09-17,5,1,"0,14"
2020-09-18,6,1,"0,29"
2020-09-19,7,1,"0,43"
2020-09-20,7,0,"0,43"
2020-09-21,7,0,"0,43"
2020-09-22,7,0,"0,43"
2020-09-23,7,0,"0,43"
2020-09-24,7,0,"0,29"
2020-09-25,8,1,"0,29"
2020-09-26,8,0,"0,14"
2020-09-27,8,0,"0,14"
2020-09-28,8,0,"0,14"
2020-09-29,8,0,"0,14"
2020-09-30,8,0,"0,14"
2020-10-01,9,1,"0,29"
2020-10-02,9,0,"0,14"
2020-10-03,9,0,"0,14"
2020-10-04,9,0,"0,14"
2020-10-05,10,1,"0,29"
2020-10-06,11,1,"0,43"
2020-10-07,12,1,"0,57"
2020-10-08,12,0,"0,43"
2020-10-09,12,0,"0,43"
2020-10-10,13,1,"0,57"
2020-10-11,14,1,"0,71"
2020-10-12,15,1,"0,71"
2020-10-13,19,4,"1,14"
2020-10-14,26,7,"2,00"
2020-10-15,28,2,"2,29"
2020-10-16,30,2,"2,57"
2020-10-17,33,3,"2,86"
2020-10-18,35,2,"3,00"
2020-10-19,40,5,"3,57"
2020-10-20,43,3,"3,43"
2020-10-21,48,5,"3,14"
2020-10-22,55,7,"3,86"
2020-10-23,58,3,"4,00"
2020-10-24,62,4,"4,14"
2020-10-25,67,5,"4,57"
2020-10-26,68,1,"4,00"
2020-10-27,86,18,"6,14"
2020-10-28,95,9,"6,71"
2020-10-29,100,5,"6,43"
2020-10-30,106,6,"6,86"
2020-10-31,111,5,"7,00"
2020-11-01,112,1,"6,43"
2020-11-02,116,4,"6,86"
2020-11-03,125,9,"5,57"
2020-11-04,128,3,"4,71"
2020-11-05,132,4,"4,57"
2020-11-06,137,5,"4,43"
2020-11-07,140,3,"4,14"
2020-11-08,140,0,"4,00"
2020-11-09,143,3,"3,86"
2020-11-10,150,7,"3,57"
2020-11-11,154,4,"3,71"
2020-11-12,159,5,"3,86"
2020-11-13,163,4,"3,71"
2020-11-14,169,6,"4,14"
2020-11-15,172,3,"4,57"
2020-11-16,194,22,"7,29"
2020-11-17,200,6,"7,14"
2020-11-18,205,5,"7,29"
2020-11-19,212,7,"7,57"
2020-11-20,213,1,"7,14"
2020-11-21,216,3,"6,71"
2020-11-22,217,1,"6,43"
2020-11-23,221,4,"3,86"
2020-11-24,224,3,"3,43"
2020-11-25,228,4,"3,29"
2020-11-26,230,2,"2,57"
2020-11-27,230,0,"2,43"
2020-11-28,230,0,"2,00"
2020-11-29,230,0,"1,86"
2020-11-30,232,2,"1,57"
2020-12-01,239,7,"2,14"
2020-12-02,242,3,"2,00"
2020-12-03,246,4,"2,29"
2020-12-04,249,3,"2,71"
2020-12-05,253,4,"3,29"
2020-12-06,255,2,"3,57"
2020-12-07,257,2,"3,57"
2020-12-08,261,4,"3,14"
2020-12-09,262,1,"2,86"
2020-12-10,265,3,"2,71"
2020-12-11,271,6,"3,14"
2020-12-12,278,7,"3,57"
2020-12-13,278,0,"3,29"
2020-12-14,279,1,"3,14"
2020-12-15,283,4,"3,14"
2020-12-16,290,7,"4,00"
2020-12-17,294,4,"4,14"
2020-12-18,295,1,"3,43"
2020-12-19,296,1,"2,57"
2020-12-20,296,0,"2,57"
2020-12-21,297,1,"2,57"
2020-12-22,301,4,"2,57"
2020-12-23,304,3,"2,00"
2020-12-24,304,0,"1,43"
2020-12-25,304,0,"1,29"
2020-12-26,304,0,"1,14"
2020-12-27,304,0,"1,14"
2020-12-28,304,0,"1,00"
2020-12-29,308,4,"1,00"
2020-12-30,310,2,"0,86"
2020-12-31,313,3,"1,29"
2021-01-01,313,0,"1,29"
2021-01-02,315,2,"1,57"
2021-01-03,316,1,"1,71"
2021-01-04,319,3,"2,14"
2021-01-05,326,7,"2,57"
2021-01-06,330,4,"2,86"
2021-01-07,330,0,"2,43"
2021-01-08,332,2,"2,71"
2021-01-09,332,0,"2,43"
2021-01-10,332,0,"2,29"
2021-01-11,333,1,"2,00"
2021-01-12,336,3,"1,43"
2021-01-13,338,2,"1,14"
2021-01-14,340,2,"1,43"
2021-01-15,345,5,"1,86"
2021-01-16,345,0,"1,86"
2021-01-17,345,0,"1,86"
2021-01-18,348,3,"2,14"
2021-01-19,350,2,"2,00"
2021-01-20,351,1,"1,86"
2021-01-21,352,1,"1,71"
2021-01-22,353,1,"1,14"
2021-01-23,353,0,"1,14"
2021-01-24,353,0,"1,14"
